"station","parameter","value","scenario","year"
"NLA06608-0001","rsds",169.11,"rcp45",2020
"NLA06608-0002","rsds",204.5809,"rcp45",2020
"NLA06608-0003","rsds",196.7966,"rcp45",2020
"NLA06608-0004","rsds",232.9381,"rcp45",2020
"NLA06608-0005","rsds",197.1996,"rcp45",2020
"NLA06608-0006","rsds",165.5953,"rcp45",2020
"NLA06608-0007","rsds",161.1989,"rcp45",2020
"NLA06608-0008","rsds",168.0008,"rcp45",2020
"NLA06608-0010","rsds",158.6779,"rcp45",2020
"NLA06608-0012","rsds",197.2277,"rcp45",2020
"NLA06608-0013","rsds",176.0972,"rcp45",2020
"NLA06608-0014","rsds",164.1005,"rcp45",2020
"NLA06608-0015","rsds",248.4801,"rcp45",2020
"NLA06608-0016","rsds",190.6123,"rcp45",2020
"NLA06608-0019","rsds",167.1858,"rcp45",2020
"NLA06608-0020","rsds",173.0256,"rcp45",2020
"NLA06608-0021","rsds",155.7172,"rcp45",2020
"NLA06608-0023","rsds",200.6607,"rcp45",2020
"NLA06608-0024","rsds",193.6775,"rcp45",2020
"NLA06608-0025","rsds",197.931,"rcp45",2020
"NLA06608-0029","rsds",189.5239,"rcp45",2020
"NLA06608-0031","rsds",167.0621,"rcp45",2020
"NLA06608-0033","rsds",163.5699,"rcp45",2020
"NLA06608-0036","rsds",180.1865,"rcp45",2020
"NLA06608-0037","rsds",165.5953,"rcp45",2020
"NLA06608-0038","rsds",152.3373,"rcp45",2020
"NLA06608-0041","rsds",178.2623,"rcp45",2020
"NLA06608-0042","rsds",185.4072,"rcp45",2020
"NLA06608-0043","rsds",159.9896,"rcp45",2020
"NLA06608-0044","rsds",191.3869,"rcp45",2020
"NLA06608-0045","rsds",188.9611,"rcp45",2020
"NLA06608-0048","rsds",186.7236,"rcp45",2020
"NLA06608-0049","rsds",185.113,"rcp45",2020
"NLA06608-0050","rsds",160.7787,"rcp45",2020
"NLA06608-0053","rsds",166.1962,"rcp45",2020
"NLA06608-0057","rsds",199.3819,"rcp45",2020
"NLA06608-0061","rsds",243.7941,"rcp45",2020
"NLA06608-0062","rsds",163.6562,"rcp45",2020
"NLA06608-0064","rsds",174.6583,"rcp45",2020
"NLA06608-0065","rsds",164.0589,"rcp45",2020
"NLA06608-0066","rsds",167.5065,"rcp45",2020
"NLA06608-0068","rsds",228.4012,"rcp45",2020
"NLA06608-0069","rsds",198.2761,"rcp45",2020
"NLA06608-0071","rsds",202.3598,"rcp45",2020
"NLA06608-0072","rsds",208.0162,"rcp45",2020
"NLA06608-0073","rsds",224.1253,"rcp45",2020
"NLA06608-0076","rsds",180.9477,"rcp45",2020
"NLA06608-0077","rsds",167.6727,"rcp45",2020
"NLA06608-0078","rsds",163.6932,"rcp45",2020
"NLA06608-0079","rsds",217.5606,"rcp45",2020
"NLA06608-0080","rsds",196.1844,"rcp45",2020
"NLA06608-0081","rsds",139.7246,"rcp45",2020
"NLA06608-0083","rsds",167.7645,"rcp45",2020
"NLA06608-0085","rsds",195.7725,"rcp45",2020
"NLA06608-0086","rsds",159.4329,"rcp45",2020
"NLA06608-0089","rsds",195.6739,"rcp45",2020
"NLA06608-0090","rsds",209.1045,"rcp45",2020
"NLA06608-0091","rsds",164.6694,"rcp45",2020
"NLA06608-0099","rsds",162.264,"rcp45",2020
"NLA06608-0101","rsds",166.4617,"rcp45",2020
"NLA06608-0102","rsds",157.4315,"rcp45",2020
"NLA06608-0104","rsds",194.514,"rcp45",2020
"NLA06608-0105","rsds",229.0606,"rcp45",2020
"NLA06608-0107","rsds",158.7142,"rcp45",2020
"NLA06608-0110","rsds",157.3687,"rcp45",2020
"NLA06608-0111","rsds",161.1826,"rcp45",2020
"NLA06608-0112","rsds",178.5184,"rcp45",2020
"NLA06608-0113","rsds",152.6643,"rcp45",2020
"NLA06608-0115","rsds",162.7756,"rcp45",2020
"NLA06608-0116","rsds",233.0684,"rcp45",2020
"NLA06608-0120","rsds",195.355,"rcp45",2020
"NLA06608-0124","rsds",191.4749,"rcp45",2020
"NLA06608-0126","rsds",161.6196,"rcp45",2020
"NLA06608-0127","rsds",234.4255,"rcp45",2020
"NLA06608-0128","rsds",176.5441,"rcp45",2020
"NLA06608-0129","rsds",169.4954,"rcp45",2020
"NLA06608-0130","rsds",241.4998,"rcp45",2020
"NLA06608-0132","rsds",235.1044,"rcp45",2020
"NLA06608-0134","rsds",165.6924,"rcp45",2020
"NLA06608-0137","rsds",240.1924,"rcp45",2020
"NLA06608-0139","rsds",162.5536,"rcp45",2020
