station,latitude,longitude
NLA06608-0001,48.97902855,-114.0218399
NLA06608-0002,33.03608374,-79.98386391
NLA06608-0003,28.04774206,-97.85986605
NLA06608-0004,37.4166607,-108.4048501
NLA06608-0005,43.92920926,-114.8403862
NLA06608-0006,41.68175297,-73.14606273
NLA06608-0007,45.58064546,-92.04001797
NLA06608-0008,41.29211104,-93.59040488
NLA06608-0010,42.61838753,-83.50577683
NLA06608-0012,35.99150268,-96.87241719
NLA06608-0013,39.97344013,-74.56471585
NLA06608-0014,47.83492738,-100.5756807
NLA06608-0015,33.0071076,-107.2747938
NLA06608-0016,41.03204082,-100.7787613
NLA06608-0019,46.36684196,-99.50977063
NLA06608-0020,39.40866265,-87.81166596
NLA06608-0021,42.77191973,-77.3095481
NLA06608-0023,31.14847472,-97.74530951
NLA06608-0024,32.14427625,-95.48374161
NLA06608-0025,35.20132137,-81.34573084
NLA06608-0029,38.75601051,-75.21503793
NLA06608-0031,39.77629271,-81.51912535
NLA06608-0033,47.31102531,-121.2991849
NLA06608-0036,37.47735355,-88.32739147
NLA06608-0037,41.69699293,-73.36398551
NLA06608-0038,44.79759122,-71.86971736
NLA06608-0041,38.22694093,-80.85405519
NLA06608-0042,44.45823517,-107.0403753
NLA06608-0043,41.553395,-85.44424168
NLA06608-0044,42.4048448,-101.7024805
NLA06608-0045,37.29290216,-77.8913145
NLA06608-0048,36.7872968,-89.17572548
NLA06608-0049,45.06232667,-117.1533553
NLA06608-0050,43.44601793,-71.80868659
NLA06608-0053,43.55819295,-73.43960723
NLA06608-0057,34.96189211,-80.51686138
NLA06608-0061,34.24558153,-113.5793644
NLA06608-0062,47.32067994,-99.74629427
NLA06608-0064,48.89406444,-112.1680823
NLA06608-0065,48.96281773,-115.1164412
NLA06608-0066,39.76851425,-79.38081778
NLA06608-0068,37.82451681,-107.8853268
NLA06608-0069,28.63736319,-81.13762447
NLA06608-0071,31.6670628,-91.50859548
NLA06608-0072,32.23766222,-98.40515204
NLA06608-0073,39.52477029,-118.878391
NLA06608-0076,39.41438688,-94.49789661
NLA06608-0077,40.92720545,-74.53493418
NLA06608-0078,48.17781123,-100.2942095
NLA06608-0079,39.9858095,-107.2315917
NLA06608-0080,34.1200351,-91.56105203
NLA06608-0081,48.22612028,-122.1241675
NLA06608-0083,45.95159402,-99.13628059
NLA06608-0085,43.4603884,-116.1413991
NLA06608-0086,45.61664005,-122.4259761
NLA06608-0089,35.7733743,-81.54174586
NLA06608-0090,42.93075473,-109.6534609
NLA06608-0091,41.36944118,-87.43213825
NLA06608-0099,43.09896871,-88.45575592
NLA06608-0101,42.02213611,-73.48389283
NLA06608-0102,44.50662567,-70.72279271
NLA06608-0104,37.65536135,-98.26223499
NLA06608-0105,38.2350209,-112.2015025
NLA06608-0107,41.65016117,-85.08175821
NLA06608-0110,46.87148558,-95.73044468
NLA06608-0111,41.13540548,-81.13692241
NLA06608-0112,39.01266111,-89.14408234
NLA06608-0113,44.71913479,-72.23397261
NLA06608-0115,44.32354588,-89.19098696
NLA06608-0116,35.66653924,-106.3013899
NLA06608-0120,36.15882361,-96.39212032
NLA06608-0124,42.14001905,-101.8094915
NLA06608-0126,47.19305824,-99.32424356
NLA06608-0127,34.15364617,-109.3063643
NLA06608-0128,48.75289143,-109.2416928
NLA06608-0129,48.21240982,-114.5994561
NLA06608-0130,31.40138437,-111.0870104
NLA06608-0132,36.20871918,-109.0936327
NLA06608-0134,41.88055989,-73.04020906
NLA06608-0137,38.14855815,-119.3636363
NLA06608-0139,41.17205162,-85.93794192
NLA06608-0140,39.63876483,-95.45475863
NLA06608-0141,39.42141827,-75.68780373
NLA06608-0142,46.00203418,-89.52546188
NLA06608-0144,33.39525121,-99.39138265
NLA06608-0148,39.34860511,-86.1080157
NLA06608-0149,41.63340269,-76.84081042
NLA06608-0150,44.85255397,-69.23433528
NLA06608-0152,34.59440722,-97.68636485
NLA06608-0153,37.21416576,-78.62545713
NLA06608-0155,42.37396455,-88.1303306
NLA06608-0158,45.88100581,-91.24994528
NLA06608-0161,28.1024337,-82.72114525
NLA06608-0162,42.73328267,-72.10327504
NLA06608-0167,44.94283229,-94.03270743
NLA06608-0168,37.75822313,-94.85392322
NLA06608-0169,38.51725431,-111.5318192
NLA06608-0170,43.9911006,-86.10688883
NLA06608-0173,33.076168,-115.5110061
NLA06608-0174,46.25212358,-96.0363618
NLA06608-0175,39.68102041,-84.68705386
NLA06608-0176,35.14239477,-90.45779851
NLA06608-0177,43.89158406,-73.05239528
NLA06608-0179,44.36456222,-101.0545158
NLA06608-0180,34.51894059,-98.88132868
NLA06608-0181,37.78867502,-119.0739704
NLA06608-0183,45.32633691,-92.42514305
NLA06608-0184,38.83461964,-94.74900513
NLA06608-0185,41.11130456,-75.45750462
NLA06608-0189,40.02942387,-80.57939847
NLA06608-0190,47.67254307,-93.75949137
NLA06608-0191,35.1744696,-83.67353794
NLA06608-0193,48.70438576,-121.1758404
NLA06608-0195,46.89197546,-99.08101063
NLA06608-0196,38.77692521,-88.06164584
NLA06608-0198,41.71307603,-70.08954132
NLA06608-0201,39.11275673,-120.4402773
NLA06608-0203,34.00633269,-87.31609868
NLA06608-0204,35.43592446,-99.24197456
NLA06608-0207,32.60301252,-84.81807605
NLA06608-0208,35.58351723,-90.96311825
NLA06608-0209,47.57601003,-122.0836788
NLA06608-0211,47.46534213,-95.76982211
NLA06608-0212,39.02683507,-86.46951143
NLA06608-0215,45.2593824,-94.96441345
NLA06608-0216,40.32832492,-96.53038863
NLA06608-0217,36.15288306,-79.1460479
NLA06608-0219,41.39943891,-85.36942922
NLA06608-0220,42.50467587,-100.5302202
NLA06608-0221,37.30050918,-76.82115028
NLA06608-0222,48.40689317,-102.9398075
NLA06608-0223,33.58413004,-84.20752986
NLA06608-0224,37.64824759,-90.58866973
NLA06608-0225,47.48039976,-112.5389845
NLA06608-0226,43.19952563,-71.24740864
NLA06608-0228,38.06219707,-103.6093941
NLA06608-0229,43.99568889,-74.40810652
NLA06608-0234,43.21858999,-85.46806326
NLA06608-0235,41.3219986,-85.7533454
NLA06608-0237,38.39171415,-115.1175479
NLA06608-0238,46.57881675,-94.17531685
NLA06608-0239,35.01895093,-85.55980719
NLA06608-0240,48.48645931,-107.5697324
NLA06608-0241,42.29154287,-111.7292621
NLA06608-0242,41.56832304,-71.91051169
NLA06608-0243,44.67688824,-100.7146435
NLA06608-0244,33.73938795,-99.23199838
NLA06608-0245,38.36396781,-122.1300516
NLA06608-0247,43.53474213,-96.96004
NLA06608-0249,41.1853168,-74.34725508
NLA06608-0253,32.47736836,-81.83068716
NLA06608-0254,47.96678307,-99.09494995
NLA06608-0255,35.94835771,-85.31930179
NLA06608-0257,48.54139505,-115.2253416
NLA06608-0259,46.37421211,-98.99123974
NLA06608-0260,36.67343618,-106.6907196
NLA06608-0268,35.51584252,-96.31619262
NLA06608-0271,40.48670319,-83.88947318
NLA06608-0275,46.27199075,-99.38087643
NLA06608-0276,38.77637097,-105.0043919
NLA06608-0277,42.67760963,-113.4039542
NLA06608-0279,44.19381472,-93.8991982
NLA06608-0280,32.08992704,-95.89428844
NLA06608-0281,35.49457482,-80.57559837
NLA06608-0283,32.51409975,-87.85682967
NLA06608-0284,34.9138437,-98.73027981
NLA06608-0285,38.55949256,-75.56230267
NLA06608-0286,46.15201138,-88.82986029
NLA06608-0290,42.19565154,-120.5256858
NLA06608-0291,43.81382063,-88.99784821
NLA06608-0293,41.38426053,-73.50316356
NLA06608-0294,44.95223074,-72.11517323
NLA06608-0295,45.18752231,-97.63185539
NLA06608-0297,33.84097049,-81.67207159
NLA06608-0299,41.45660059,-85.2449775
NLA06608-0301,37.15479457,-77.52050059
NLA06608-0302,45.91703876,-97.02426153
NLA06608-0303,41.08825872,-82.72869743
NLA06608-0306,43.41594036,-119.41191
NLA06608-0312,38.81717464,-95.54639054
NLA06608-0313,34.88602671,-79.6893777
NLA06608-0318,47.46148555,-92.43469487
NLA06608-0319,34.72229815,-83.11204858
NLA06608-0324,36.94411474,-82.20299073
NLA06608-0325,28.56369452,-81.43794893
NLA06608-0326,41.35719487,-72.04012641
NLA06608-0327,31.70685204,-91.37341374
NLA06608-0328,32.515555,-93.87023429
NLA06608-0330,45.06291593,-83.45698555
NLA06608-0332,35.6973295,-94.94231971
NLA06608-0333,40.62803319,-74.85056841
NLA06608-0334,48.32055243,-100.7578272
NLA06608-0337,48.39382391,-122.6562431
NLA06608-0339,46.11443869,-99.42452982
